Albany Garage	32 Albany Street
Albany St Generator Shelter	180 Albany Street, Boston, MA
Alpha Chi Omega	478 Commonwealth Ave, Boston, MA
Alpha Delta Phi	351 Massachusetts Avenue, Cambridge, MA
Alpha Epsilon Pi	155 Bay State Rd, Boston, MA
Alpha Phi	479 Commonwealth Avenue, Boston, MA
Arthur D Little Building	30 Memorial Drive
Ashdown House	235 Albany Street
Baker House	362 Memorial Drive
Bates Linear Accelerator	21 Manning Ave
Beta Theta Pi	119 Bay State Road, Boston, MA
Bexley Hall	46-52 Massachusetts Avenue
Brown Building	60 Vassar Street
Burton-conner House	410 Memorial Drive
Bush Building	105 Massachusetts Ave
Carr Indoor Tennis Facility	410 Memorial Drive
Chi Phi	32 Hereford Street, Boston, MA
Cogeneration Plant	59 Vassar Street
Compton Laboratories	60 Vassar Street
Cooling Tower & Oil Reserve	60 Albany Street
Cyclotron	51 Vassar Street
Delta Kappa Epsilon	403 Memorial Drive, Cambridge, MA
Delta Psi	428 Memorial Drive, Cambridge, MA
Delta Tau Delta	416 Beacon Street, Boston, MA
Delta Upsilon	526 Beacon Street, Boston, MA
Epsilon Theta	259 St. Paul Street, Brookline, MA
Dorrance Building	21 Ames St
Dreyfus Building	21 Ames St
Du Pont Athletic Center	100 Massachusetts Avenue
Du Pont Athletic Gymnasium	120 Massachusetts Avenue
Dupont Tennis Courts (office)	410 Memorial Drive
East Campus	East Campus, 3 Ames Street
Eastgate	60 Wadsworth Street
Eastman Laboratories	182 Memorial Drive
Edgerton House	143 Albany Street
Edward Pennell Brooks Center	80 Haven St
Endicott House	80 Haven St
Fairchild Building (36)	50 Vassar Street
Fairchild Building (38)	50 Vassar Street
Fariborz Maseeh Hall	305 Memorial Drive
Fenway House	34 The Fenway, Boston, MA
Fire Pump Room	60 Albany Street
Ford Building (e18)	50 Ames Street
Ford Building (e19)	400 Main Street
Francis Bitter Magnet Lab (nw14)	150 Albany Street
Francis Bitter Magnet Lab (nw15)	166-170 Albany Street
Gray House	111 Memorial Drive
Green Building	21 Ames St
Green Hall	350 Memorial Drive
Guggenheim Laboratory	125 Massachusetts Avenue
Hayden Library	160 Memorial Drive
Haystack Atmospheric Sciences	50 Groton Rd
Haystack Observatory	50 Groton Rd
Health Services	25 Carleton Street
Heinz Building	201 Vassar Street
Hermann Building	30 Wadsworth Street
High Voltage Research Lab	155 Massachusetts Avenue
Homberg Building	77 Massachusetts Ave
Information Systems Operations	565-570 Memorial Drive
Johnson Athletics Center	120 Vassar Street
Kappa Alpha Theta	350 Memorial Drive, Cambridge, MA
Kappa Sigma	407 Memorial Drive, Cambridge, MA
Koch Biology Building	31 Ames Street
Kresge Auditorium	48 Massachusetts Ave
Lambda Chi Alpha	99 Bay State Road, Boston, MA
Landau Building	25 Ames Street
MacGregor House	450 Memorial Drive
Maclaurin Buildings (10)	222 Memorial Drive
Maclaurin Buildings (3)	33 Massachusetts Ave
Maclaurin Buildings (4)	182 Memorial Drive
McCormick Hall	320 Memorial Drive
McNair Building	70 Vassar Street
Media Lab	75 Amherst Street
MIT Alumni Pool	6 Vassar St
MIT Chapel	48 Massachusetts Ave
MIT Museum	265 Massachusetts Avenue
MIT Police	301 Vassar Street
Muckley Building	1 Amherst Street
Mudd Building	40 Ames Street
New House	471-476 Memorial Drive
Next House	500 Memorial Drive
Nu Delta	460 Beacon Street, Boston, MA
Nuclear Reactor Lab	138 Albany Street
Parsons Laboratory	15 Vassar Street
Pi Beta Phi	405 Memorial Drive, Cambridge, MA
Pi Lambda Phi	450 Beacon Street, Boston, MA
Pika	69 Chestnut Street, Cambridge, MA
